# proiect	serviciu	director_compose	eticheta_in_compose	imagine_fixata
autogen	autogen	/opt/autogen	python:3.11-slim	python@sha256:94c50be2dc994b873b55bc123e95e6dbade08095b3dfd790f51c34de3f08cbb7
cida	cida-minio	/opt/cida	minio/minio:RELEASE.2025-04-22T22-12-26Z	minio/minio@sha256:a1ea29fa28355559ef137d71fc570e508a214ec84ff8083e39bc5428980b015e
cida	cida-postgres	/opt/cida	postgres:17	postgres@sha256:ccb771565a9685249a794529986c6f6eb007c676dd4169d84d3f1c46a280e696
dify	dify-api	/opt/dify	langgenius/dify-api:latest	langgenius/dify-api@sha256:dcefa5f7c47c77e621f5b864bc1d64a2ba18cd215b001f15b3882bb7911c6c64
dify	dify-db	/opt/dify	postgres:15-alpine	postgres@sha256:3d0f7584ed7d04e27fa050d6683a74746608faf21f202be78460d679cc56461f
dify	dify-redis	/opt/dify	redis:7-alpine	redis@sha256:e7723ff73d963f5cc6d9c4643ea3d989527a402a319239054e9472a7fb9219a2
dify	dify-web	/opt/dify	langgenius/dify-web:latest	langgenius/dify-web@sha256:87dd47e4e28f86834f6a7aefd9a02b9f4097056867031e4d99ebd46908a0e390
langfuse	clickhouse	/opt/langfuse	docker.io/clickhouse/clickhouse-server:25.12	docker.io/clickhouse/clickhouse-server@sha256:8a790dd3468db22b1d4e7b18a176f378ff5ff6053b9c48dd4ea1fa71a24c5ba6
langfuse	langfuse-web	/opt/langfuse	docker.io/langfuse/langfuse:4	docker.io/langfuse/langfuse@sha256:434f228500ba1e1e0f3deaa6dc412827330c5e9f01fba841c6122ff8c46a9323
langfuse	langfuse-worker	/opt/langfuse	docker.io/langfuse/langfuse-worker:4	docker.io/langfuse/langfuse-worker@sha256:0efc56f424044db9cf7bc9c0881d104b28d31764fda956be2238d1ed269124f1
langfuse	minio	/opt/langfuse	cgr.dev/chainguard/minio	cgr.dev/chainguard/minio@sha256:5f2b82fe2edccafed7902f423f171ae5e6b8b363fae72441c0e0e4289dc45555
langfuse	postgres	/opt/langfuse	docker.io/postgres:17	docker.io/postgres@sha256:a426e44bac0b759c95894d68e1a0ac03ecc20b619f498a91aae373bf06d8508d
langfuse	redis	/opt/langfuse	docker.io/redis:7	docker.io/redis@sha256:8e839f5b3738dbc1223ea01d5d3da0da0d750018e1336f45866630a9bf217014
mlflow	mlflow	/opt/mlflow	ghcr.io/mlflow/mlflow:v2.22.0	ghcr.io/mlflow/mlflow@sha256:191fb7f5390f92ee7f95b3a08a77ce9eb4c01dd2721107ec2460e5ba37a0a97c
n8n	n8n	/opt/n8n	n8nio/n8n:latest	n8nio/n8n@sha256:f9a15cc65378e4e5b6c3b1445c83985131938db8d8b5b1ab891d7d50196b2162
openwebui	openwebui	/opt/openwebui	ghcr.io/open-webui/open-webui:main	ghcr.io/open-webui/open-webui@sha256:6a773e5c3a246b65cbe74ce942b294292c0e5f81c138f703d111bc162f7d7c3d
portkey	portkey-gateway	/opt/portkey	portkeyai/gateway:latest	portkeyai/gateway@sha256:97f094d9c8a764cbfaa2a7138c0017b247ca923bb06db1b4c13b7f8a33b5200d
prefect	prefect	/opt/prefect	prefecthq/prefect:3-latest	prefecthq/prefect@sha256:2d647011130f4bb36ee07b8386921890f1da44a9b7fbf81cfa86a555b92f151e
qdrant-tls	qdrant-tls	/opt/ronor-servicii-restante-declarativ/qdrant-tls	nginx:alpine	nginx@sha256:4a73073bd557c65b759505da037898b61f1be6cbcc3c2c3aeac22d2a470c1752
ronor-expansion	langgraph-postgres	/opt/ronor-expansion	postgres:17	postgres@sha256:ccb771565a9685249a794529986c6f6eb007c676dd4169d84d3f1c46a280e696
ronor-expansion	langgraph-redis	/opt/ronor-expansion	redis:7	redis@sha256:8e839f5b3738dbc1223ea01d5d3da0da0d750018e1336f45866630a9bf217014
ronor-expansion	qdrant	/opt/ronor-expansion	qdrant/qdrant:v1.19.0	qdrant/qdrant@sha256:057ee3a8da769fe7310dd3537b4dc7583bf87a95ce8ac43c0af5a46bc580d1fc
ronor-expansion	temporal	/opt/ronor-expansion	temporalio/auto-setup:1.29.7	temporalio/auto-setup@sha256:f14912b699cf73015ad5c4fc18d522d4b014db90e794039214dfb7c022c2644f
ronor-expansion	temporal-admin-tools	/opt/ronor-expansion	temporalio/admin-tools:1.29.7-tctl-1.18.4-cli-1.7.2	temporalio/admin-tools@sha256:4a17b5be706c56a9238fb7b5b32a36966cee14939658b20597837b2443b277c8
ronor-expansion	temporal-postgres	/opt/ronor-expansion	postgres:17	postgres@sha256:ccb771565a9685249a794529986c6f6eb007c676dd4169d84d3f1c46a280e696
ronor-expansion	temporal-ui	/opt/ronor-expansion	temporalio/ui:2.53.1	temporalio/ui@sha256:102edb3cc9a549c8408bb5a867be944f6bc3889479770362e4c4c2067a4b8700
